postalcode,sla_days
831035,1
831003,1
831005,1
831006,1
831011,1
831013,1
831014,1
831001,1
831004,1
831007,1
831009,1
831010,1
831012,1
831015,1
831016,1
831017,1
831018,1
832109,1
831008,1
832108,1
832110,1
831019,1
831002,1
832107,1
